name,price,status,shipping,free_returns,items_sold
"Full Grain Leather Briefcase for Men 17.3"" Laptop Bag Shoulder Bag Work Handbag",13990,Brand New,0,True,106
"NWT The North Face Surge(Laptop Approved), Hot Shot, Base & Kaban Backpack",6690,Brand New,2195,False,0
Leather Messenger Bag for Men 15.6x17.3 Laptop Bag,3999,Brand New,0,True,
Fossil Computer Laptop brown  canvas leather bag - missing shoulder strap,5500,Pre-Owned,0,False,
"NWT Kipling KI1159 Seoul Backpack 15"" Laptop School Nylon Pink Blue Mix Block",8495,Brand New,,True,0
New Men's Large Real Vintage Leather Backpack Brown Travel Rucksack Laptop Bag,8000,New (Other),0,True,0
Mens Genuine Vintage Leather Satchel Messenger Man Handbag Laptop Briefcase Bag,4680,New (Other),0,True,
 18in Large Vintage Leather Bag for Laptop - Brown. Pre-Owned!,2390,Pre-Owned,1795,False,
Rare J.Crew Laptop Shoulder Messenger Camo Military Grade Cotton/Leather Bag NWT,3499,Brand New,1450,False,
Kenneth Cole Strap replacement Briefcase Travel Bag Laptop Case Bag Duffle Bag ,1495,New (Other),325,False,0
Under Armour 1342651 UA Hustle 4.0 Storm Backpack School Laptop Book Bag $55 NWT,2999,Brand New,1244,False,0
Warner Bros. beige/brown satchel messenger laptop bag Desden,2297,Pre-Owned,800,False,
Air Jordan Retro 12 XII Laptop Backpack Black/Gym Red/Grey [9A1773-KR5]Free Ship,6695,Brand New,0,False,
New Kate Spade Staci Laptop Tote Saffiano Leather Ditsy Buds Black multi ,16500,Brand New,2435,False,
Kate Spade Women’s Spencer Leather 15 inch Laptop Large Work Tote Crossbody Blue,23800,Brand New,0,True,
Clearance Sale GREEN backpack High School Travel Laptop Rucksack Zipper Bag NEW,1695,Brand New,0,False,
CoolBELL Laptop Bag Convertible Backpack Messenger Bag Shoulder Handbag 15.6 in,3999,Brand New,0,False,
Shoulder Strap Replacement For  Briefcase Travel Bag Laptop Messenger Duffle Bag,1285,Brand New,325,False,0
"13"" Laptop Backpack Anti Theft Casual Bag Fashion Backpack Lightweight Unisex",3299,Brand New,0,True,
NIXON Backpack Rucksack Large Laptop Pocket Padded Back Clip Buckle Flap Closure,4046,Brand New,2022,False,
Sovrano LG Laptop Locking Briefcase Bag Black Nylon Case NEW,4000,Brand New,1831,True,
Travel Bag 15.6” USB Laptop Bag Waterproof School Duffel Bag Blue Carry-on Bag,6899,Brand New,0,True,
New MYTAGALONGS Black Vixen Backpack Velour With Gold Hardware Laptop Bag,2000,Brand New,600,False,
"Original Oneplus Explorer Backpack 15.0"" Laptop Macbook Air Travel Bag Briefcase",7499,Brand New,799,False,53
"""LONGABERGER"" Logo Quilted Purse Laptop Travel Tote Bee Bag ",1500,,1200,False,
